Virgin River,36.1460934,-114.4163626
Saigon,10.823,106.6296
Kasaan Alaska,55.5395,-132.4041
Blue Spring,37.3785,-79.807
Badger Creek,-37.7,145.5167
Cincinnati Ohio,39.1271,-84.5144
Rattlesnake Tanks,33.1016561,-109.1701284
Los Angeles California,34.0522,-118.2437
Havasu Rapid,36.3072988,-112.7643937
Tanner Wash,36.6985983,-111.7109956
Mannheim Germany,49.4891,8.4669
Brigham City Utah,41.5102,-112.0155
Palo Alto,37.4419,-122.143
Desolation Canyon,39.4166324,-110.0109796
Upper Disaster Falls,40.6502408,-108.9334504
Salt Lake,40.7608,-111.8911
White Rock,35.8275,-106.2039
Ingelsby Rapids,0,0
Klamath Falls Oregon,42.2249,-121.7817
Lodore,40.7274626,-108.8881715
Carthage Mississippi,32.7326,-89.5362
Carbonate Canyon,36.249982,-112.6676896
Matkat,36.3440738,-112.6732124
Fairfield Iowa,41.0086,-91.9627
Vossberg,0,0
Toyei,35.7025091,-109.9381725
Moenave,36.1386029,-111.3373639
Hotevilla,35.9277802,-110.6729158
Hance Rapids,36.0459215,-111.9203492
Yuma,32.7253,-114.6244
Lock Haven Pennsylvania,41.137,-77.4469
Brian Head,37.6927551,-112.8507766
Iceberg,37.3299925,-110.7659769
Dungeon Canyon,37.0691586,-111.1520954
McNary,34.2961385,-112.4910039
Betatakin,36.6816653,-110.5315274
Keams,35.8236163,-110.3809642
Madison Wisconsin,43.0731,-89.4012
Edgewood,39.4187,-76.2944
Pocatello,42.8713,-112.4455
Hindman,37.3359,-82.9804
Inglesby,40.4619071,-109.2379052
La Paz,-16.5,-68.15
Argentina,-38.416097,-63.616672
Forbidding Canyon,37.114438,-110.9807046
Canyonlands,38.1704542,-109.7402052
Cairo Illinois,37.0053,-89.1765
Rucker Canyon,31.7800951,-109.3106183
Bedrock,38.3149897,-108.8909363
South Cove,-33.8054,151.1664
Low Mountain,36.8347018,-113.7274613
Happy Jack,34.8111183,-114.1599519
Bolton New York,43.5573,-73.6548
Tuba,36.135,-111.2399
Big Drop,38.0722085,-110.0462426
Tegucigalpa,14.0818,-87.2068
Denver,39.7392,-104.9847
The Tabernacle,37.1816681,-109.8906787
Fremont Indiana,41.7309,-84.9327
